GEOID_place,place_name,GEOID_county,county_name,total_pop.place,total_moe.place,age_pop.place,age_moe.place,white_perc.place,white_moe.place,aa_perc.place,aa_moe.place,hisp_perc.place,hisp_moe.place,total_pop.county,total_moe.county,age_pop.county,age_moe.county,white_perc.county,white_moe.county,aa_perc.county,aa_moe.county,hisp_perc.county,hisp_moe.county,total_pop_log.place,pop_density.place,pop_density_log.place,total_pop_log.county,pop_density.county,pop_density_log.county
3720580,"Elizabeth City city, North Carolina",37139,Pasquotank,17732,44,32.7,1.6,38.7,2.5,52,3,6.6,1.5,39546,NA,38.1,0.6,54.9,0.1,36.3,0.9,4.9,NA,9.783126195864945,580.4360970908316,0.3202390924021499,10.585219830280774,52.77291384324576,0.014125648462934907
3720600,"Elizabethtown town, North Carolina",37017,Bladen,3530,15,40.4,8,43.6,9.2,48.1,9.1,6.5,5.2,34130,NA,42.8,0.4,54.2,0.3,34.9,0.6,7.5,NA,8.169053149927343,294.11784369938283,0.6806414440573035,10.437932041900753,14.846238532425716,0.004540405182517081
3721380,"Engelhard CDP, North Carolina",37095,Hyde,613,339,44.2,21,52.9,29.8,27.6,26.2,16.2,22.3,5507,NA,42.7,3.9,59.8,4.3,30.7,4.7,8.4,2.1,6.418364935936212,73.58429755058981,0.7704581977719452,8.613775289262481,1.457303996509031,0.002279442374082613
3722920,"Fayetteville city, North Carolina",37051,Cumberland,210324,61,30,0.2,39.1,0.6,41.5,0.7,12,0.4,332766,NA,31,0.1,44.6,0.1,36.6,0.3,11.2,NA,12.256404477861176,542.8758087208362,0.031635502809610715,12.71519481924861,195.12386026504115,0.007455803468965703
3724080,"Forest City town, North Carolina",37161,Rutherford,7250,35,34.7,5,58.5,7.7,28,5.8,13.3,6.5,66523,NA,44.5,0.2,83.6,0.1,10.1,0.5,4.1,NA,8.88875674784872,326.06582527570794,0.3997682489189394,11.105303031508205,45.28348254658169,0.00755959286264604
3724640,"Franklin town, North Carolina",37113,Macon,3934,18,42.9,6.7,82.5,7.8,1.4,1.5,12.6,7.6,34160,NA,49.3,0.5,89.5,0.1,1.3,0.4,6.8,NA,8.277411998949004,307.39076533922133,0.6467717359900834,10.438810647902507,25.38030672241192,0.0077558611259058875
3725580,"Gastonia city, North Carolina",37071,Gaston,74381,60,37.9,0.9,58.2,1.3,27.5,1.3,9.7,1,214049,NA,40.1,0.2,73.6,0.2,15.7,0.3,6.6,NA,11.216955811863006,554.1751836603084,0.08357186038301107,12.273960239756526,226.9824195115302,0.013015586114432945
3725680,"Gatesville town, North Carolina",37073,Gates,313,101,44.4,12.4,90.4,6.6,8,6,0.6,1.1,11601,NA,45,1.2,62.5,0.3,32.9,1.5,0.7,0.8,5.746203190540153,299.29187599333125,5.4945429160882675,9.358846580275406,12.95515285994526,0.010451279031139026
3726880,"Goldsboro city, North Carolina",37191,Wayne,35432,42,33.6,1.6,36.6,1.7,50.2,2.2,6.7,1.4,124496,NA,37.3,0.3,54.1,0.1,30.4,0.5,11.3,NA,10.475370645603034,476.67908080005157,0.1409288228264252,11.732028865856712,86.1866126238562,0.008121898110409103
3728000,"Greensboro city, North Carolina",37081,Guilford,284816,130,35,0.3,44,0.6,41.8,0.6,7.3,0.5,517197,NA,37.2,0.2,51.4,0.1,33.7,0.3,7.7,NA,12.559598636717213,823.0576518872734,0.03629456829175001,13.15617912539898,303.64962645293286,0.0077240758878633735
3728080,"Greenville city, North Carolina",37147,Pitt,90347,54,26.8,0.5,51.7,1.3,38.2,1.4,4.9,0.7,176484,NA,32,0.2,55.1,0.3,34.6,0.4,6,NA,11.411413091263237,975.6981839383268,0.12323701981599375,12.080985499688314,103.94447603231109,0.007115385574437624
3729180,"Hampstead CDP, North Carolina",37141,Pender,5200,711,43.1,4.4,91.9,4.7,2.4,1.5,3.1,3.4,57630,NA,42.6,0.6,74.5,0.1,15.7,0.6,6.8,NA,8.556413904569519,98.52845640466744,0.16212504891859003,10.961798544430712,23.818468975683643,0.004530509431688653
3730280,"Hayesville town, North Carolina",37043,Clay,365,109,40,14,92.1,10,0.5,1.1,6.8,9.9,10753,NA,50.7,0.7,95,1.7,1.6,1.7,3.3,NA,5.8998973535824915,290.19796653188524,4.690789629469836,9.282940064390527,18.804792959389097,0.016233959449947172
3730660,"Henderson city, North Carolina",37181,Vance,15009,26,37.3,2.2,26.3,2.6,62.8,3.7,7.9,3.3,44420,NA,40.6,0.7,40.6,0.1,50,0.6,7.3,NA,9.616405300156314,680.3321391250365,0.4358951021752738,10.701445097448419,63.83163584877922,0.015377999696443745
3730720,"Hendersonville city, North Carolina",37089,Henderson,13620,34,48.7,3.7,76.6,4.7,11.3,3.2,9.7,4.8,112156,NA,46.9,0.3,83.5,0.4,3.4,0.5,9.9,NA,9.519294579703503,731.0944905188991,0.5109767856716336,11.627646038294376,115.41180632692196,0.01196518806492414
3730900,"Hertford town, North Carolina",37143,Perquimans,2533,351,35.5,7,54.6,8.3,38.8,10,8.2,3.4,13506,NA,48.9,1,72,0.2,24.2,1.2,2.5,NA,7.837159650001675,339.8517444085281,1.0515090320810103,9.510889310134788,15.853428405218693,0.011163942155203737
3731060,"Hickory city, North Carolina",37035,Catawba,40157,63,38.2,1.5,67.2,2.2,12.7,1.3,13.4,1.7,156182,NA,41.2,0.3,76.1,0.1,8.1,0.3,9.3,NA,10.600552050380118,516.7973456619961,0.13642296890176747,11.958777272871643,144.9490599677208,0.011098676698121989
3733560,"Indian Trail town, North Carolina",37179,Union,37191,63,34.6,1,73.4,2.3,10.6,1.7,12.3,2.1,222095,NA,38,0.2,73,0.1,11.5,0.2,10.9,NA,10.523822075506256,643.9681664935872,0.18222167746144233,12.310860497247301,134.0806392884328,0.0074321711234455155
3734200,"Jacksonville city, North Carolina",37133,Onslow,73661,47,23.1,0.3,57.9,1.9,18.2,1.9,15.7,1.3,192685,NA,26,0.2,66.8,0.1,14.3,0.6,12.2,NA,11.207228765796126,560.6053315107293,0.08529387596646419,12.16881201016873,82.18805453665321,0.005190497366883921
3734440,"Jefferson town, North Carolina",37009,Ashe,1543,306,46.7,7.9,90,4.3,5.1,3.1,1.6,1.8,26833,NA,47.2,0.6,92.5,0.1,0.8,0.1,5.2,NA,7.341483852363161,285.9137747731301,1.3603573303079277,10.197387752301138,24.195770911535444,0.00919515737900256
3735720,"Kill Devil Hills town, North Carolina",37055,Dare,6978,22,38.7,3,85,5.5,1.8,2.5,12.2,5.5,35412,NA,46,0.5,87.6,0.3,2.1,0.7,7.1,NA,8.85051762174672,474.8585417372618,0.6022848798341338,10.47480602473094,8.868359465122795,0.002623244808391164
3735920,"Kinston city, North Carolina",37107,Lenoir,21004,36,44.4,1.6,29,2.3,64.9,2.4,2.9,1.2,57934,NA,41.9,0.6,49.7,0.1,39.3,1.4,7.5,NA,9.95246817475775,437.0708571113962,0.20710025688036862,10.96705971055897,55.730937598078526,0.010550014160312824
3737220,"Laurinburg city, North Carolina",37165,Scotland,15320,44,37.5,2,39.6,2.2,46.7,2,3.8,1.2,35445,NA,39.3,0.5,43.9,0.1,38.7,0.4,2.8,NA,9.636914443294582,466.5231691522619,0.2934623934030675,10.475737478289117,42.71579910238149,0.01262461553313264
3737680,"Leland town, North Carolina",37019,Brunswick,18023,60,41.7,3.2,81.9,3.5,7.3,2.5,5.1,1.9,122586,NA,51.9,0.3,81.6,0.1,10.6,0.3,4.7,NA,9.799403998992805,349.93095074934973,0.19026326128527615,11.716568103467868,45.07623377996971,0.00430831222921748
3737760,"Lenoir city, North Carolina",37027,Caldwell,17890,50,43,3.1,77.9,3.4,10.2,2.3,9.4,2.2,81805,NA,44.1,0.3,87.9,0.1,4.9,0.3,5.1,NA,9.791997176502765,334.25341527179603,0.18295184452643,11.312093645417177,66.54973606614747,0.009202577427517353
3738320,"Lincolnton city, North Carolina",37109,Lincoln,10574,24,37.1,3.6,57.3,4.6,16.2,3.3,19.6,3.9,80504,NA,42.7,0.3,85.3,0.1,5.4,0.5,7,NA,9.266153436795395,470.67934145277115,0.41246330597987413,11.29606215161317,101.94845921295448,0.014305079642387137
3739700,"Lumberton city, North Carolina",37155,Robeson,21366,49,33.2,1.2,37.3,2,37.4,2.2,9.3,1.6,134187,NA,35.9,0.2,25.7,0.1,24.1,0.2,8.5,NA,9.969556152505833,458.9978787137061,0.21417228895054546,11.806989628484711,54.53777673049275,0.004798728373222016
3741420,"Marion city, North Carolina",37111,McDowell,7752,44,36.8,2.5,68.6,4.9,8.5,2.2,19,4.9,45069,NA,43.3,0.4,87.7,0.5,3.8,0.2,6,NA,8.955706153570603,519.6751162289478,0.6003686321296576,10.715949927730533,39.0731074483758,0.009290320684675276
3741620,"Mars Hill town, North Carolina",37115,Madison,2595,476,23.3,2.1,84.9,4.1,9.7,3.1,3.9,3.3,21347,NA,44.2,0.5,93.9,0.1,1.9,0.1,2.5,NA,7.861341795599989,503.6315009784214,1.5257107391993914,9.9686664935611,18.25561971705469,0.008525047294355013
3742100,"Maysville town, North Carolina",37103,Jones,970,175,34.2,6.4,54.2,9.5,38.8,9.6,5.7,4.8,9776,NA,45.5,0.5,62.2,0.1,30.5,1.2,4.5,NA,6.877296071497429,534.2205751548777,3.7876217142533375,9.187685681411377,7.968251399262672,0.007488726400050309
3743720,"Mocksville town, North Carolina",37059,Davie,5130,50,42.5,1.9,57.4,5.4,22.9,4.1,15.6,4.9,41766,NA,44.6,0.3,84.9,0.1,6.1,0.4,6.5,NA,8.542860938164814,259.8736001437554,0.4327610190113743,10.639837890396722,60.49826311733167,0.015411859220872862
3744220,"Mooresville town, North Carolina",37097,Iredell,36577,106,34.4,0.8,72.3,2.4,10.4,1.6,9.3,1.9,169798,NA,40.4,0.3,76.4,0.1,12.4,0.2,7.4,NA,10.507174906553255,636.5681753102065,0.1828617206968804,12.042364774227002,109.61719978118263,0.007774239421514491
3744320,"Morehead City town, North Carolina",37031,Carteret,9200,38,43.2,2.6,76.4,3.6,10.7,2.2,8.3,2.5,68699,NA,47.4,0.2,86.4,0.1,5.7,0.3,4.2,NA,9.126958763037132,362.697013013435,0.3598174653533004,11.137489922063743,19.937307915250944,0.003232238693127834
3744400,"Morganton city, North Carolina",37023,Burke,16478,33,43.9,2.1,69.6,3,7.7,1.5,19.2,2.4,88898,NA,43.6,0.3,82.3,0.1,6,0.3,5.9,NA,9.709781436875536,332.17441989071807,0.1957361946874496,11.395244924061078,66.74675244115818,0.008555823437565177
3744800,"Mount Airy city, North Carolina",37171,Surry,10198,71,46.3,2.5,79.9,3.1,8.2,2.3,9.6,2.3,72315,NA,43.4,0.3,84.4,0.1,3.7,0.2,10.2,NA,9.2299469016151,332.2772913393869,0.30073561047999925,11.188786855507832,51.92344171050812,0.008033745724998416
